id,entity,country,location_query,confidence,latitude,longitude,geo_source,note,geo_display
ATK-2026-0619-BDF,East Midlands Railway,United Kingdom,"Elstow, Bedford, England",high,52.1153339,-0.4681274,location,,"Elstow, Bedford, England, United Kingdom"
ATK-2026-0622-HEAT,NHS England & UKHSA,United Kingdom,"London, England",medium,51.5074456,-0.1277653,location,Warning spans central/southern England and south Wales,"Greater London, England, United Kingdom"
ATK-2026-0622-UKP,Labour Party,United Kingdom,"10 Downing Street, London, England",high,51.5034878,-0.1276965,location,,"10 Downing Street, 10, Downing Street, Westminster, Covent Garden, City of Westminster, Greater London, England, SW1A 2AA, United Kingdom"
ATK-2026-0630-AAPL,Apple Inc.,India,"New Delhi, India",high,28.6138954,77.2090057,location,Competition Commission of India seat,"New Delhi, Delhi, India"
ATK-2026-0630-FTC,U.S. Federal Trade Commission,United States,"Washington, D.C., United States",high,38.8950982,-77.0363849,location,Supreme Court / FTC seat,"Washington, District of Columbia, United States"
ATK-2026-0630-GAZA,Medecins Sans Frontieres (MSF),Palestine,"Gaza, Palestine",medium,31.4690337,34.3994215,location,Strikes across Gaza and West Bank; Gaza most representative,"Palestine, الزهراء‎, محافظة غزة, قطاع غزة, الأراضي الفلسطينية"
ATK-2026-0630-IRAN,Israel National Cyber Directorate (INCD),Israel,"Tel Aviv, Israel",high,32.0852997,34.7818064,location,Cyber incidents targeting Israel,"תל־אביב–יפו, נפת תל אביב, מחוז תל אביב, ישראל"
ATK-2026-0630-ITHEAT,Italian Ministry of Health / Protezione Civile,Italy,"Rome, Italy",medium,41.8933203,12.4829321,location,22-city red alert nationwide,"Roma, Roma Capitale, Lazio, Italia"
ATK-2026-0630-NPM,"npm, Inc. / GitHub / Microsoft",United States,"Redmond, Washington, United States",low,47.6694141,-122.1238767,location,Global supply-chain; npm/GitHub/Microsoft HQ,"Redmond, King County, Washington, 98052, United States"
ATK-2026-0630-PAKAF,"Populations of Chamkani, Giyan and Marawara",Afghanistan,"Giyan, Paktika, Afghanistan",medium,32.975159,69.399302,location,Casualties in eastern Afghan provinces,"گيان ولسوالی, پکتيکا ولايت, افغانستان"
ATK-2026-0630-RKLB,Iridium Communications Inc. (IRDM),United States,"McLean, Virginia, United States",medium,38.9366852,-77.185843,location,Iridium HQ; US M&A with DoD clearances,"McLean, Fairfax County, Virginia, United States"
ATK-2026-0630-SJFZ,San Pedro Square Market / venue operator,United States,"San Pedro Square Market, San Jose, California, United States",high,37.3364141,-121.894748,location,,"San Pedro Square Market, Peralta Adobe Plaza, San Pedro Square, Japantown, San Jose, Santa Clara County, California, 95110, United States"
ATK-2026-0630-UKR,Civilian residents of Dnipro / Zaporizhzhia / Kharkiv / Sumy,Ukraine,"Dnipro, Ukraine",medium,51.5567163,30.6121981,location,Heaviest losses in Dnipro; strikes across seven oblasts,"Дніпро, Губичі, Любецька селищна громада, Чернігівський район, Чернігівська область, 15082, Україна"
ATK-BANK-001,"TD Bank, N.A.",United States,"Cherry Hill, New Jersey, United States",medium,39.9348351,-75.0307264,location,TD Bank US HQ; DOJ/FinCEN/OCC action,"Cherry Hill Township, Camden County, New Jersey, United States"
ATK-BANK-002,Bharat Masrani,Canada,"Toronto, Ontario, Canada",high,43.6534817,-79.3839347,location,Toronto-Dominion Bank HQ,"Toronto, Golden Horseshoe, Ontario, Canada"
ATK-BANK-003,Evolve Bank & Trust,United States,"Memphis, Tennessee, United States",medium,35.146026,-90.0517786,location,Evolve Bank & Trust HQ,"Memphis, Shelby County, West Tennessee, Tennessee, United States"
ATK-BANK-004,Synapse Financial Technologies,United States,"West Memphis, Arkansas, United States",medium,35.1464797,-90.1845388,location,Evolve/Arkansas regulator; Fed C&D,"West Memphis, Crittenden County, Arkansas, 72301, United States"
ATK-BANK-005,Banco Santander S.A.,Spain,"Santander, Spain",medium,43.4618932,-3.8100255,location,Santander HQ; breach affected Chile/Spain/Uruguay,"Santander, Cantabria, España"
ATK-BANK-006,Finastra Group Holdings,United Kingdom,"London, England",medium,51.5074456,-0.1277653,location,Finastra HQ,"Greater London, England, United Kingdom"
ATK-BANK-007,JPMorgan Chase & Co.,United States,"New York City, New York, United States",high,40.7127281,-74.0060152,location,SitusAMC NY vendor breach,"New York, United States"
ATK-BANK-008,Truist retail & commercial customers,United States,"Charlotte, North Carolina, United States",medium,35.2272086,-80.8430827,location,Truist HQ,"Charlotte, Mecklenburg County, North Carolina, United States"
ATK-BANK-009,Affected Citibank cardholders,United States,"Boston, Massachusetts, United States",medium,42.3588336,-71.0578303,location,Reported to Massachusetts AG,"Boston, Suffolk County, Massachusetts, United States"
ATK-BANK-010,JPMorgan Chase & Co.,United States,"New York City, New York, United States",medium,40.7127281,-74.0060152,location,JPMorgan HQ; SDNY litigation,"New York, United States"
ATK-BANK-011,Affected retail & brokerage customers,United States,"San Francisco, California, United States",medium,37.7879363,-122.4075201,location,Wells Fargo HQ,"San Francisco, California, United States"
ATK-BANK-012,Goldman Sachs Asset Management,United States,"New York City, New York, United States",medium,40.7127281,-74.0060152,location,"Fried Frank / GSAM / JPMorgan, NY","New York, United States"
ATK-BANK-013,Citibank N.A.,United States,"New York City, New York, United States",medium,40.7127281,-74.0060152,location,Citigroup HQ; OCC/Fed penalty,"New York, United States"
ATK-BANK-014,"TD Bank, N.A.",United States,"Washington, D.C., United States",medium,38.8950982,-77.0363849,location,CFPB consent order,"Washington, District of Columbia, United States"
ATK-BANK-015,Wells Fargo retail & commercial banking,United States,"San Francisco, California, United States",medium,37.7879363,-122.4075201,location,Wells Fargo HQ,"San Francisco, California, United States"
ATK-BANK-016,Barclays Bank PLC,United Kingdom,"London, England",medium,51.5074456,-0.1277653,location,FCA fine; Barclays HQ,"Greater London, England, United Kingdom"
ATK-BANK-017,French State / DGFiP,France,"Paris, France",medium,48.8588897,2.320041,location,French State settlement with UBS,"Paris, Île-de-France, France métropolitaine, France"
ATK-BANK-018,Government of Malaysia,Malaysia,"Kuala Lumpur, Malaysia",medium,3.1516964,101.6942371,location,1MDB settlement with Government of Malaysia,"Kuala Lumpur, Malaysia"
ATK-BANK-019,Goldman Sachs Bank USA,United States,"Washington, D.C., United States",medium,38.8950982,-77.0363849,location,CFPB order,"Washington, District of Columbia, United States"
ATK-BANK-020,JPMorgan Chase,United States,"Washington, D.C., United States",medium,38.8950982,-77.0363849,location,CFPB Zelle suit,"Washington, District of Columbia, United States"
ATK-BANK-021,"JPMorgan Chase Bank, N.A.",United States,"New York City, New York, United States",medium,40.7127281,-74.0060152,location,JPMorgan HQ; OCC/Fed/CFTC orders,"New York, United States"
ATK-BANK-022,Morgan Stanley — Institutional Securities,United States,"New York City, New York, United States",medium,40.7127281,-74.0060152,location,Morgan Stanley HQ,"New York, United States"
ATK-BANK-023,Nadine Ahn,Canada,"Toronto, Ontario, Canada",medium,43.6534817,-79.3839347,location,Royal Bank of Canada HQ,"Toronto, Golden Horseshoe, Ontario, Canada"
ATK-BANK-024,Anand Selva — Citi COO,United States,"New York City, New York, United States",medium,40.7127281,-74.0060152,location,Citigroup HQ; SDNY suit,"New York, United States"
ATK-BANK-025,Charles W. Scharf,United States,"San Francisco, California, United States",medium,37.7879363,-122.4075201,location,Wells Fargo HQ,"San Francisco, California, United States"
ATK-BANK-026,Citi Treasury & Trade Solutions operations staff,United States,"New York City, New York, United States",medium,40.7127281,-74.0060152,location,Citigroup HQ,"New York, United States"
ATK-BANK-027,CrowdStrike Holdings (CRWD),United States,"Austin, Texas, United States",low,30.2711286,-97.7436995,location,Global outage; CrowdStrike HQ,"Austin, Travis County, Texas, United States"
ATK-BANK-028,Bank of America (BAC),United States,"Brookfield, Wisconsin, United States",medium,43.0615578,-88.1260678,location,Fiserv outage; US-wide,"Brookfield, Waukesha County, Wisconsin, United States"
ATK-BANK-029,Barclays UK retail & SME customers,United Kingdom,"London, England",medium,51.5074456,-0.1277653,location,UK-wide Barclays outage,"Greater London, England, United Kingdom"
ATK-BANK-030,Capital One Financial (COF),United States,"McLean, Virginia, United States",medium,38.9366852,-77.185843,location,Capital One HQ; FIS outage US-wide,"McLean, Fairfax County, Virginia, United States"
ATK-BANK-031,HSBC HK retail customers,China,Hong Kong,high,22.2818333,114.1582831,location,HSBC Hong Kong outage,"香港 Hong Kong, 中国"
